"Reference","Mfg Part #","LCSC","Link","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet","Manufacturer"
"C1,C8","CL05A475MP5NRNC","","","2","4.7uF-0402","","","","Capacitor_SMD:C_0402_1005Metric","~","Murata Electronics"
"C2,C3,C4,C5,C6,C7","CL05B104KO5NNNC","","","6","100nF-0402","","","","Capacitor_SMD:C_0402_1005Metric","~","Murata Electronics"
"C9,C10","CL05A105KA5NQNC","","","2","1uF","","","","Capacitor_SMD:C_0402_1005Metric","~","Murata Electronics"
"C11,C12","CL05A105KA5NQNC","","","2","1uF-0402","","","","Capacitor_SMD:C_0402_1005Metric","~","Murata Electronics"
"D6,D7,D8,D9,D10,D11,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D35,D36,D37,D38,D39,D40,D41,D42,D43,D44,D45,D46,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D60,D61,D62,D63,D66,D67,D68,D69,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D81,D82,D83,D84,D85,D86,D87,D88,D89,D90,D91,D92,D93,D94,D95,D96,D97,D98,D99,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130,D131,D132,D133,D134,D135,D136,D137,D138,D139,D140,D141,D142,D143,D144,D145,D146,D147,D148,D149,D150,D151,D152,D153,D154,D155,D156,D157,D158,D159,D160,D161,D162,D163,D164,D165,D166,D167,D168,D169,D170,D171,D172,D173,D174,D175,D176,D178,D179,D180,D181,D182,D183,D184,D185,D186,D187,D188,D189,D190,D191,D194,D195,D196,D197,D198,D199,D200,D201,D202,D203,D204,D205,D206,D207,D211,D212,D213,D214,D215,D216,D217,D218,D219,D220,D221,D222,D228,D229,D230,D231,D232,D233,D234,D235,D236,D237,D246,D247,D248,D249,D250,D251,D257","16-213/R6C-AQ2R2B/3T","","","209","LED","","","","LED_SMD:LED_0402_1005Metric","~","Everlight Electronics Co Ltd"
"J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26","","","","25","Conn_01x01_Pin","DNP","","","TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm","~",""
"J44","JST B2B-PH-SM4-TB(LF)(SN)","","","1","Conn_01x02_Socket","","","","Connector_JST:JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical","~",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17","0402WGF220JTCE","","","17","22","","","","Resistor_SMD:R_0402_1005Metric","~","YAGEO"
"R18","0402WGF2002TCE","","","1","20K","","","","Resistor_SMD:R_0402_1005Metric","~",""
"R19","0402WGF2002TCE","","","1","1k","","","","Resistor_SMD:R_0402_1005Metric","~","YAGEO"
"R20","0402WGF1001TCE","","","1","10k","","","","Resistor_SMD:R_0402_1005Metric","~","YAGEO"
"R21,R22","0402WGF1002TCE","","","2","10K","","","","Resistor_SMD:R_0402_1005Metric","~",""
"R23,R24","0402WGF5101TCE","","","2","5.1K","","","","Resistor_SMD:R_0402_1005Metric","~",""
"TP1,TP2,TP3","","","","3","TestPoint","DNP","","","TestPoint:TestPoint_Pad_2.0x2.0mm","~",""
"U1","STM32U575RGT6","","","1","STM32U575RGTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32u575rg.pdf","STMicroelectronics"
"U2","ADXL363BCCZ-RL7","","","1","ADXL363","","","","Sensor_Motion:Analog_LGA-16_3.25x3mm_P0.5mm_LayoutBorder3x5y","https://www.analog.com/media/en/technical-documentation/data-sheets/ADXL363.pdf","Analog Devices Inc."
"U3","USBLC6-2P6","","","1","USBLC6-2P6","","","","Package_TO_SOT_SMD:SOT-666","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","STMicroelectronics"
"U4","MCP73832T-2ACI/MC","","","1","MCP73832-2-MC","","","","Package_DFN_QFN:DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","Microchip Tech"
"U5","TPS7A2033DQNR","","","1","TPS7A20xxxDQN","","","","Package_SON:Texas_X2SON-4_1x1mm_P0.65mm","https://www.ti.com/lit/ds/symlink/tps7a20.pdf","Texas Instruments"
"USB1","TYPE-C 16P QTWT","C5187472","","1","TYPE-C_16P_QTWT","","","","JLCImport:TYPE-C_16P_QTWT","https://wmsc.lcsc.com/wmsc/upload/file/pdf/v2/lcsc/2209291730_SHOU-HAN-TYPE-C-16P-QTWT_C5187472.pdf","SHOU HAN"
