Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0402,2,4.7uF-0402,
"C10, C9",0402,2,1uF,
"C11, C12",0402,2,1uF-0402,
"C2, C3, C4, C5, C6, C7",0402,6,100nF-0402,
"D10, D100, D101, D102, D103, D104, D105, D106, D107, D108, D109, D11, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132, D133, D134, D135, D136, D137, D138, D139, D140, D141, D142, D143, D144, D145, D146, D147, D148, D149, D150, D151, D152, D153, D154, D155, D156, D157, D158, D159, D160, D161, D162, D163, D164, D165, D166, D167, D168, D169, D170, D171, D172, D173, D174, D175, D176, D178, D179, D180, D181, D182, D183, D184, D185, D186, D187, D188, D189, D190, D191, D194, D195, D196, D197, D198, D199, D20, D200, D201, D202, D203, D204, D205, D206, D207, D21, D211, D212, D213, D214, D215, D216, D217, D218, D219, D22, D220, D221, D222, D228, D229, D23, D230, D231, D232, D233, D234, D235, D236, D237, D24, D246, D247, D248, D249, D25, D250, D251, D26, D27, D28, D29, D35, D36, D37, D38, D39, D40, D41, D42, D43, D44, D45, D46, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D76, D77, D78, D79, D8, D81, D82, D83, D84, D85, D86, D87, D88, D89, D9, D90, D91",0402,200,Green 0402 LED,
D257,0402,1,Red 0402 LED,
"D92, D93, D94, D95, D96, D97, D98, D99",0402,8,Green 0402 LED,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J2, J20, J21, J22, J23, J24, J25, J26, J3, J4, J5, J6, J7, J8, J9",TestPoint_THTPad_D2.0mm_Drill1.0mm,25,Conn_01x01_Pin,
J44,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,1,Conn_01x02_Socket,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R2, R3, R4, R5, R6, R7, R8, R9",0402,17,22,
R18,0402,1,20K,
R19,0402,1,1k,
"R20, R21, R22",0402,3,10k,
"R23, R24",0402,2,5.1K,
"TP1, TP2, TP3",TestPoint_Pad_2.0x2.0mm,3,TestPoint,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32U575RGTx,
U2,Analog_LGA-16_3.25x3mm_P0.5mm_LayoutBorder3x5y,1,ADXL363,
U3,SOT-666,1,USBLC6-2P6,
U4,DFN-8-1EP_3x2mm_P0.5mm_EP1.7x1.4mm,1,MCP73832-2-MC,
U5,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS7A20xxxDQN,
USB1,TYPE-C_16P_QTWT,1,TYPE-C_16P_QTWT,C5187472
